Why do we have seasons? A little thought will suggest that it can't have much to do with the Earth's distance from the sun, as that would affect the Southern and Northern Hemispheres at the same time. (In fact, the Earth is slightly nearer to the sun around December than at other times of the year.) Why, then are there seasons?	ADD CARDS HERE
Every year the Earth completes one orbit of the Sun. We see this observe the effect as the change of the seasons and the movement of the constellations. Over the course of a year, the Sun moves through a great circle on the celestial sphere, tracing out the same path year after year. This path is called the ecliptic. The ecliptic is not only the path of the Sun in the sky, it also marks the plane of the Earth's orbit of the Sun. The planets orbit the Sun in different planes but near to the ecliptic.	ADD CARDS HERE
The Earth is tilted with respect to the ecliptic plane by 23.5°	ADD CARDS HERE
The axis of the Earth's rotation is tilted by 23½° with respect to the plane of the ecliptic. Globes are typically built with an inclined rotation axis. The 23½° North latitude is marked as the Tropic of Cancer and the 23½° South latitude is marked as the Tropic of Capricorn. In the Northern Hemisphere, the Sun will pass directly over head only between June 20 and 22th along the Tropic of Cancer. That day is called the day of the summer maximum or Solstice in the Northern Hemisphere. In the Southern Hemisphere, the Sun will pass directly over head only once between December 20 and 23rd along the Tropic of Capricorn. Anywhere between the Tropic of Cancer and the Tropic of Capricorn, the Sun will pass directly overhead at least twice during the year, but the Sun will never pass overhead for people living outside the tropics. Within the Tropics, over the course of a year, the Sun's position in the sky changes, beginning in the southern sky about December 21, moving to the northern sky in mid-year, and ending the year back in the southern sky.	ADD CARDS HERE
The tilt of Earth's rotation axis causes a 23½° tilt of the great circle of the ecliptic with respect to the Earth's equator. The ecliptic and the equator intersect at two points, but are otherwise separated by up to 23½°. When the sun lies at one of the intersections, it is directly overhead somewhere on the equator. This occurs at the equinox, and the points on the sky where the equinox intersects the equator are also called equinoxes. Once every year, the Sun passes through the equator going north. This happens in late March — the "vernal" or "spring" equinox. The "autumnal" equinox occurs when the Sun passes through the equator in late September.	ADD CARDS HERE
On the equinox days, the day and night are equally long. This is the origin of the name equinox, which is from Latin for "equal night." On the day of the equinox, the Sun rises due east and sets due west. It doesn't rise to directly overhead, though, except for observers on the Equator. The equinoxes are the only days of the year that have twelve hours of daylight and twelve hours of dark. After the vernal equinox, moving into Northern summertime, the Sun begins rising in the northeast and sets in the northwest. Days in the Northern Hemisphere become longer, while days in the Southern Hemisphere become shorter.	ADD CARDS HERE
The points at which the Sun is at its greatest distance from the equator are called the solstices. The solstices mark the longest and shortest day of the year. The longest day of the year is the summer solstice and the shortest day is the winter solstice. In the Northern Hemisphere, the summer solstice occurs when the Sun is farthest north, while the winter solstice occurs at the Sun's southernmost point. In the Southern Hemisphere, the solstices are reversed.	ADD CARDS HERE
Viewed from space, we see that the Earth's tilt changes the exposure of different parts of the Earth to the Sun. Observers in the Northern Hemisphere will see the Sun at its lowest position in the southern sky, about December 21. They see it this way because the Southern Hemisphere is tilted towards the Sun and the Northern Hemisphere is tilted away. About June 22, the situation is reversed, with the Northern Hemisphere pointed toward the Sun, and the Sun will be in its extreme high point in the sky at solar noon. For an observer in the Southern Hemisphere, the Sun will appear at its lowest point in the sky in the north, about June 22, while the Sun will appear at its high point in the sky about December 21. One effect of this phenomenon is that during the months of Northern Hemisphere summer, the North Pole will be able to receive sunlight twenty-four hours a day. The Sun will remain visible through much of the autumn, passing below the horizon at the autumnal equinox. As winter sets in at the North Pole, the Sun will not be seen for six months, while that portion of the Earth is tilted away from the Sun.	ADD CARDS HERE
As one moves toward the Earth's equator from either pole, this effect becomes less severe. The nearer one is to the equator, the less difference there will be between the number of hours of illumination and night hours. At the equator, there's practically no difference between the length of day all through the year.	ADD CARDS HERE
Clearly, the annual motion of the Earth around the Sun is the cause of Earth's seasons. What effect gives rise to this seasonal change is less obvious. At first glance, one might think that winter occurs when the Earth is farther from the Sun. If we realize the Northern and Southern Hemispheres have winter at different times of year, we see that this can't be right. Also, the Earth's orbit is very nearly circular. The change in the Earth's orbital distance is much too small to have a noticeable effect on Earth's climate.	ADD CARDS HERE
Certainly the length of time each day during which sunlight falls on a particular location has a great deal to do with the seasonal changes in temperature. However, another effect less obvious, but more influential is the angle at which the sunlight hits a region. At the equator, there is little difference throughout the year as the Sun varies by 23.5 degrees on either side of the vertical. The length of the ray's path on Dec 21 at solar noon is increased by a factor of only 1.1 from a direct vertical path and the reduction of the sunlight is small. The more direct radiation gives the maximum amount of heat and energy to the earth where it falls, and therefore these areas will receive the most warmth. Away from the equator, however, the Earth's tilt means that sunlight is not received so directly and a greater amount of the Sun's energy is blocked by the longer path it takes through the atmosphere. At 50 degrees north latitude, the path the Sun's rays travel through the atmosphere on Dec 21, at solar noon, will be increased by a factor of 3.5 from a direct vertical path. In general, the rays will come at an angle that depends on the time of day, the latitude of the region from the equator, and the position of Earth in its orbit.	ADD CARDS HERE
The constellations in the ecliptic, the zodiac, have a long history in the tradition of astrology. In most newspapers, you can read a (completely unscientific) prediction of your future or some personal advice, specific to your birthday. Each entry is associated with one of the constellations of the zodiac and a range of birth dates. In the tradition of astrology, the constellation the Sun occupied on your birthday, your "sign," reveals information about your personality and your future.	ADD CARDS HERE
